club_id,club,country_code,source_url,source_page,snapshot_date,competition,gender,entity_id,entity_type,name,confederation,has_stats,matches,goals,goals_against,possession_pct,high_press_pct,counter_press_pct,pass_completion_pct,participation_min_usd,participation_max_usd
alahlyfc,Al Ahly FC,EGY,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,1,2025-07-04,FIFA Club World Cup 2025,male,alahlyfc,club,Al Ahly FC,CAF,True,3,4,6,46.833,2.333,11.333,87.198,9550000,9550000
alainfc,Al Ain FC,UAE,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,2,2025-07-04,FIFA Club World Cup 2025,male,alainfc,club,Al Ain FC,AFC,True,3,2,12,33.733,3.667,7.333,82.567,9550000,9550000
alhilal,Al Hilal,KSA,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,3,2025-07-04,FIFA Club World Cup 2025,male,alhilal,club,Al Hilal,AFC,True,5,8,6,43.58,3.4,8.4,85.869,9550000,9550000
atleticodemadrid,Atlético De Madrid,ESP,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,4,2025-07-04,FIFA Club World Cup 2025,male,atleticodemadrid,club,Atlético De Madrid,UEFA,True,3,4,5,43.867,7.667,10.0,88.017,12810000,38190000
aucklandcityfc,Auckland City FC,NZL,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,5,2025-07-04,FIFA Club World Cup 2025,male,aucklandcityfc,club,Auckland City FC,OFC,True,3,1,17,28.533,0.333,6.333,72.903,3580000,3580000
borussiadortmund,Borussia Dortmund,GER,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,6,2025-07-04,FIFA Club World Cup 2025,male,borussiadortmund,club,Borussia Dortmund,UEFA,True,5,9,7,44.86,8.4,9.2,87.787,12810000,38190000
botafogo,Botafogo,BRA,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,7,2025-07-04,FIFA Club World Cup 2025,male,botafogo,club,Botafogo,CONMEBOL,True,4,3,3,36.475,2.5,7.75,82.955,15210000,15210000
cabocajuniors,CA Boca Juniors,ARG,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,8,2025-07-04,FIFA Club World Cup 2025,male,cabocajuniors,club,CA Boca Juniors,CONMEBOL,True,3,4,5,41.867,2.667,10.333,82.228,15210000,15210000
cariverplate,CA River Plate,ARG,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,9,2025-07-04,FIFA Club World Cup 2025,male,cariverplate,club,CA River Plate,CONMEBOL,True,3,3,3,42.567,8.667,11.667,83.852,15210000,15210000
cfmonterrey,CF Monterrey,MEX,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,10,2025-07-04,FIFA Club World Cup 2025,male,cfmonterrey,club,CF Monterrey,Concacaf,True,4,6,3,49.05,5.5,11.75,86.475,9550000,9550000
