club_id,club,country_code,source_url,source_page,snapshot_date,competition,gender
alahlyfc,Al Ahly FC,EGY,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,1,2025-07-04,FIFA Club World Cup 2025,male
alainfc,Al Ain FC,UAE,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,2,2025-07-04,FIFA Club World Cup 2025,male
alhilal,Al Hilal,KSA,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,3,2025-07-04,FIFA Club World Cup 2025,male
atleticodemadrid,Atlético De Madrid,ESP,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,4,2025-07-04,FIFA Club World Cup 2025,male
aucklandcityfc,Auckland City FC,NZL,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,5,2025-07-04,FIFA Club World Cup 2025,male
borussiadortmund,Borussia Dortmund,GER,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,6,2025-07-04,FIFA Club World Cup 2025,male
botafogo,Botafogo,BRA,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,7,2025-07-04,FIFA Club World Cup 2025,male
cabocajuniors,CA Boca Juniors,ARG,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,8,2025-07-04,FIFA Club World Cup 2025,male
cariverplate,CA River Plate,ARG,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,9,2025-07-04,FIFA Club World Cup 2025,male
cfmonterrey,CF Monterrey,MEX,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,10,2025-07-04,FIFA Club World Cup 2025,male
cfpachuca,CF Pachuca,MEX,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,11,2025-07-04,FIFA Club World Cup 2025,male
chelseafc,Chelsea FC,ENG,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,12,2025-07-04,FIFA Club World Cup 2025,male
crflamengo,CR Flamengo,BRA,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,13,2025-07-04,FIFA Club World Cup 2025,male
esperancedetunisie,Espérance De Tunisie,TUN,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,14,2025-07-04,FIFA Club World Cup 2025,male
fcbayernmunchen,FC Bayern München,GER,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,15,2025-07-04,FIFA Club World Cup 2025,male
fcinternazionalemilano,FC Internazionale Milano,ITA,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,16,2025-07-04,FIFA Club World Cup 2025,male
fcporto,FC Porto,POR,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,17,2025-07-04,FIFA Club World Cup 2025,male
fcsalzburg,FC Salzburg,AUT,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,18,2025-07-04,FIFA Club World Cup 2025,male
fluminensefc,Fluminense FC,BRA,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,19,2025-07-04,FIFA Club World Cup 2025,male
intermiamicf,Inter Miami CF,USA,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,20,2025-07-04,FIFA Club World Cup 2025,male
juventusfc,Juventus FC,ITA,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,21,2025-07-04,FIFA Club World Cup 2025,male
lafc,LAFC,USA,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,22,2025-07-04,FIFA Club World Cup 2025,male
mamelodisundownsfc,Mamelodi Sundowns FC,RSA,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,23,2025-07-04,FIFA Club World Cup 2025,male
manchestercity,Manchester City,ENG,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,24,2025-07-04,FIFA Club World Cup 2025,male
palmeiras,Palmeiras,BRA,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,25,2025-07-04,FIFA Club World Cup 2025,male
parissaintgermain,Paris Saint-Germain,FRA,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,26,2025-07-04,FIFA Club World Cup 2025,male
realmadridcf,Real Madrid C. F.,ESP,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,27,2025-07-04,FIFA Club World Cup 2025,male
seattlesoundersfc,Seattle Sounders FC,USA,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,28,2025-07-04,FIFA Club World Cup 2025,male
slbenfica,SL Benfica,POR,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,29,2025-07-04,FIFA Club World Cup 2025,male
ulsanhd,Ulsan HD,KOR,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,30,2025-07-04,FIFA Club World Cup 2025,male
urawareddiamonds,Urawa Red Diamonds,JPN,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,31,2025-07-04,FIFA Club World Cup 2025,male
wydadac,Wydad AC,MAR,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,32,2025-07-04,FIFA Club World Cup 2025,male
