club_id,club,country_code,source_url,source_page,snapshot_date,competition,gender,entity_id,name,nationality,attribution
alahlyfc,Al Ahly FC,EGY,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,1,2025-07-04,FIFA Club World Cup 2025,male,coach:alahlyfc,RIVEIRO Jose,Spain,Head coach en lista FIFA del 4 de julio; no verificación partido a partido
alainfc,Al Ain FC,UAE,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,2,2025-07-04,FIFA Club World Cup 2025,male,coach:alainfc,IVIC Vladimir,Serbia,Head coach en lista FIFA del 4 de julio; no verificación partido a partido
alhilal,Al Hilal,KSA,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,3,2025-07-04,FIFA Club World Cup 2025,male,coach:alhilal,INZAGHI Simone,Italy,Head coach en lista FIFA del 4 de julio; no verificación partido a partido
atleticodemadrid,Atlético De Madrid,ESP,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,4,2025-07-04,FIFA Club World Cup 2025,male,coach:atleticodemadrid,SIMEONE Diego,Argentina,Head coach en lista FIFA del 4 de julio; no verificación partido a partido
aucklandcityfc,Auckland City FC,NZL,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,5,2025-07-04,FIFA Club World Cup 2025,male,coach:aucklandcityfc,POSA Paul,New Zealand,Head coach en lista FIFA del 4 de julio; no verificación partido a partido
borussiadortmund,Borussia Dortmund,GER,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,6,2025-07-04,FIFA Club World Cup 2025,male,coach:borussiadortmund,KOVAC Niko,Croatia,Head coach en lista FIFA del 4 de julio; no verificación partido a partido
botafogo,Botafogo,BRA,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,7,2025-07-04,FIFA Club World Cup 2025,male,coach:botafogo,RENATO PAIVA,Portugal,Head coach en lista FIFA del 4 de julio; no verificación partido a partido
cabocajuniors,CA Boca Juniors,ARG,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,8,2025-07-04,FIFA Club World Cup 2025,male,coach:cabocajuniors,RUSSO Miguel Angel,Argentina,Head coach en lista FIFA del 4 de julio; no verificación partido a partido
cariverplate,CA River Plate,ARG,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,9,2025-07-04,FIFA Club World Cup 2025,male,coach:cariverplate,GALLARDO Marcelo,Argentina,Head coach en lista FIFA del 4 de julio; no verificación partido a partido
cfmonterrey,CF Monterrey,MEX,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,10,2025-07-04,FIFA Club World Cup 2025,male,coach:cfmonterrey,TORRENT Domenec,Spain,Head coach en lista FIFA del 4 de julio; no verificación partido a partido
cfpachuca,CF Pachuca,MEX,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,11,2025-07-04,FIFA Club World Cup 2025,male,coach:cfpachuca,LOZANO Jaime,Mexico,Head coach en lista FIFA del 4 de julio; no verificación partido a partido
