entity_id,club_id,club,match_id,date,source_url,shirt_number,match_name,passes_attempted,passes_completed,pass_completion_pct,switches,crosses_attempted,crosses_completed,line_breaks_attempted,line_breaks_completed,line_break_completion_pct,ball_progressions,take_ons,step_ins,shots,goals,distribution_page,tackles_attempted,tackles_won,blocks,interceptions,direct_pressures,indirect_pressures,aerial_duels_won,physical_duels_won,possession_contests_won,clearances,loose_ball_receptions,pushing_on,pushing_on_pressing,regains,interruptions,defence_page,distance_m,zone1_m,zone2_m,zone3_m,zone4_m,zone5_m,high_speed_runs,sprints,top_speed_kmh,physical_page
alahlyfc:1,alahlyfc,Al Ahly FC,1,2025-06-14,https://www.fifatrainingcentre.com/media/native/tournaments/fcwc/2025/M01%20AHL%20V%20MIA%20POST%20MATCH%20REPORT.pdf,1,MOHAMED ELSHENAWY,34.0,29.0,85.0,0.0,0.0,0.0,8.0,6.0,75.0,0.0,0.0,0.0,0.0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,10.0,0.0,47,5479.2,4319.5,977.6,137.3,37.3,7.6,14.0,5.0,26.7,50
alahlyfc:5,alahlyfc,Al Ahly FC,1,2025-06-14,https://www.fifatrainingcentre.com/media/native/tournaments/fcwc/2025/M01%20AHL%20V%20MIA%20POST%20MATCH%20REPORT.pdf,5,Mohamed Ali BEN ROMDHANE,19.0,19.0,100.0,0.0,0.0,0.0,5.0,5.0,100.0,4.0,3.0,1.0,1.0,0.0,42,2.0,0.0,1.0,0.0,2.0,9.0,0.0,0.0,1.0,0.0,2.0,10.0,4.0,1.0,1.0,47,7541.9,2606.0,3421.8,961.6,413.3,139.2,81.0,32.0,34.6,50
alahlyfc:6,alahlyfc,Al Ahly FC,1,2025-06-14,https://www.fifatrainingcentre.com/media/native/tournaments/fcwc/2025/M01%20AHL%20V%20MIA%20POST%20MATCH%20REPORT.pdf,6,YASSER IBRAHIM,51.0,48.0,94.0,1.0,0.0,0.0,3.0,1.0,33.0,0.0,0.0,0.0,0.0,0.0,42,1.0,0.0,2.0,0.0,1.0,6.0,0.0,0.0,0.0,11.0,6.0,12.0,3.0,0.0,9.0,47,9231.5,4069.6,3477.4,1076.8,480.2,127.5,90.0,43.0,28.9,50
alahlyfc:7,alahlyfc,Al Ahly FC,1,2025-06-14,https://www.fifatrainingcentre.com/media/native/tournaments/fcwc/2025/M01%20AHL%20V%20MIA%20POST%20MATCH%20REPORT.pdf,7,TREZEGUET,30.0,29.0,97.0,1.0,1.0,0.0,9.0,7.0,78.0,6.0,4.0,2.0,4.0,0.0,42,3.0,1.0,0.0,0.0,2.0,10.0,1.0,0.0,2.0,0.0,4.0,15.0,8.0,1.0,2.0,47,7088.6,3075.2,2362.0,917.8,451.3,282.4,87.0,43.0,35.4,50
alahlyfc:8,alahlyfc,Al Ahly FC,1,2025-06-14,https://www.fifatrainingcentre.com/media/native/tournaments/fcwc/2025/M01%20AHL%20V%20MIA%20POST%20MATCH%20REPORT.pdf,8,HAMDY FATHY,28.0,22.0,79.0,1.0,0.0,0.0,12.0,9.0,75.0,0.0,0.0,0.0,1.0,0.0,42,3.0,0.0,3.0,0.0,6.0,20.0,0.0,0.0,0.0,2.0,6.0,36.0,9.0,1.0,2.0,47,10752.5,3938.6,4783.3,1455.4,470.3,104.8,148.0,37.0,37.1,50
alahlyfc:9,alahlyfc,Al Ahly FC,1,2025-06-14,https://www.fifatrainingcentre.com/media/native/tournaments/fcwc/2025/M01%20AHL%20V%20MIA%20POST%20MATCH%20REPORT.pdf,9,WESSAM ABOU ALI,9.0,7.0,78.0,0.0,0.0,0.0,3.0,3.0,100.0,0.0,0.0,0.0,1.0,0.0,42,2.0,1.0,1.0,0.0,4.0,28.0,1.0,0.0,1.0,1.0,2.0,22.0,16.0,3.0,0.0,47,8025.4,3449.3,2465.5,1258.1,600.8,251.6,113.0,50.0,34.0,50
alahlyfc:13,alahlyfc,Al Ahly FC,1,2025-06-14,https://www.fifatrainingcentre.com/media/native/tournaments/fcwc/2025/M01%20AHL%20V%20MIA%20POST%20MATCH%20REPORT.pdf,13,MARAWAN ATTIA,49.0,46.0,94.0,3.0,1.0,0.0,18.0,15.0,83.0,1.0,0.0,1.0,0.0,0.0,42,19.0,6.0,3.0,2.0,21.0,27.0,0.0,0.0,0.0,2.0,4.0,28.0,9.0,10.0,5.0,47,10304.8,4118.7,4392.1,1322.2,318.2,153.5,113.0,31.0,43.5,50
alahlyfc:15,alahlyfc,Al Ahly FC,1,2025-06-14,https://www.fifatrainingcentre.com/media/native/tournaments/fcwc/2025/M01%20AHL%20V%20MIA%20POST%20MATCH%20REPORT.pdf,15,Achraf DARI,37.0,34.0,92.0,1.0,0.0,0.0,8.0,5.0,62.0,0.0,0.0,0.0,1.0,0.0,42,2.0,1.0,2.0,1.0,2.0,3.0,1.0,0.0,1.0,5.0,2.0,13.0,2.0,4.0,4.0,47,9267.2,4048.6,3938.4,846.4,318.9,114.9,78.0,29.0,33.0,50
alahlyfc:22,alahlyfc,Al Ahly FC,1,2025-06-14,https://www.fifatrainingcentre.com/media/native/tournaments/fcwc/2025/M01%20AHL%20V%20MIA%20POST%20MATCH%20REPORT.pdf,22,EMAM ASHOUR,5.0,4.0,80.0,0.0,0.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,2.0,0.0,42,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,47,1569.2,463.3,695.0,269.9,100.8,40.2,26.0,9.0,30.0,50
alahlyfc:30,alahlyfc,Al Ahly FC,1,2025-06-14,https://www.fifatrainingcentre.com/media/native/tournaments/fcwc/2025/M01%20AHL%20V%20MIA%20POST%20MATCH%20REPORT.pdf,30,MOHAMED HANY,37.0,25.0,68.0,0.0,2.0,0.0,19.0,10.0,53.0,3.0,2.0,1.0,0.0,0.0,42,3.0,1.0,1.0,1.0,2.0,7.0,0.0,0.0,0.0,2.0,7.0,18.0,3.0,2.0,2.0,47,9650.4,4190.5,3834.7,1010.4,430.9,184.0,80.0,39.0,31.4,50
