club_id,club,country_code,source_url,source_page,snapshot_date,competition,gender,entity_id,shirt_number,position,name,dob,age,age_reference_date,nationality,height_cm
alahlyfc,Al Ahly FC,EGY,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,1,2025-07-04,FIFA Club World Cup 2025,male,alahlyfc:1,1,GK,MOHAMED ELSHENAWY,1988-12-18,36,2025-06-14,Egypt,191
alahlyfc,Al Ahly FC,EGY,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,1,2025-07-04,FIFA Club World Cup 2025,male,alahlyfc:2,2,DF,KHALED ABDELFATTAH,1999-01-22,26,2025-06-14,Egypt,173
alahlyfc,Al Ahly FC,EGY,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,1,2025-07-04,FIFA Club World Cup 2025,male,alahlyfc:3,3,DF,OMAR KAMAL,1993-09-29,31,2025-06-14,Egypt,185
alahlyfc,Al Ahly FC,EGY,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,1,2025-07-04,FIFA Club World Cup 2025,male,alahlyfc:4,4,DF,AHMED RAMADAN,1997-03-23,28,2025-06-14,Egypt,186
alahlyfc,Al Ahly FC,EGY,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,1,2025-07-04,FIFA Club World Cup 2025,male,alahlyfc:5,5,MF,BEN ROMDHANE Mohamed Ali,1999-09-06,25,2025-06-14,Tunisia,180
alahlyfc,Al Ahly FC,EGY,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,1,2025-07-04,FIFA Club World Cup 2025,male,alahlyfc:6,6,DF,YASSER IBRAHIM,1993-02-10,32,2025-06-14,Egypt,185
alahlyfc,Al Ahly FC,EGY,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,1,2025-07-04,FIFA Club World Cup 2025,male,alahlyfc:7,7,MF,TREZEGUET,1994-10-01,30,2025-06-14,Egypt,181
alahlyfc,Al Ahly FC,EGY,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,1,2025-07-04,FIFA Club World Cup 2025,male,alahlyfc:8,8,MF,HAMDY FATHY,1994-09-29,30,2025-06-14,Egypt,183
alahlyfc,Al Ahly FC,EGY,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,1,2025-07-04,FIFA Club World Cup 2025,male,alahlyfc:9,9,FW,WESSAM ABOU ALI,1999-01-04,26,2025-06-14,Palestine,185
alahlyfc,Al Ahly FC,EGY,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,1,2025-07-04,FIFA Club World Cup 2025,male,alahlyfc:10,10,FW,GRADISAR Nejc,2002-08-06,22,2025-06-14,Slovenia,185
alahlyfc,Al Ahly FC,EGY,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,1,2025-07-04,FIFA Club World Cup 2025,male,alahlyfc:11,11,DF,KARIM EL DEBES,2003-06-03,22,2025-06-14,Egypt,167
alahlyfc,Al Ahly FC,EGY,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,1,2025-07-04,FIFA Club World Cup 2025,male,alahlyfc:13,13,MF,MARAWAN ATTIA,1998-08-01,26,2025-06-14,Egypt,176
alahlyfc,Al Ahly FC,EGY,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,1,2025-07-04,FIFA Club World Cup 2025,male,alahlyfc:14,14,MF,HUSSEIN ELSHAHAT,1992-06-21,32,2025-06-14,Egypt,169
alahlyfc,Al Ahly FC,EGY,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,1,2025-07-04,FIFA Club World Cup 2025,male,alahlyfc:15,15,DF,DARI Achraf,1999-05-06,26,2025-06-14,Morocco,188
alahlyfc,Al Ahly FC,EGY,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,1,2025-07-04,FIFA Club World Cup 2025,male,alahlyfc:17,17,MF,BENCHARKI Achraf,1994-09-24,30,2025-06-14,Morocco,178
alahlyfc,Al Ahly FC,EGY,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,1,2025-07-04,FIFA Club World Cup 2025,male,alahlyfc:19,19,MF,MOHAMED AFSHA,1996-03-06,29,2025-06-14,Egypt,168
alahlyfc,Al Ahly FC,EGY,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,1,2025-07-04,FIFA Club World Cup 2025,male,alahlyfc:22,22,MF,EMAM ASHOUR,1998-02-20,27,2025-06-14,Egypt,180
alahlyfc,Al Ahly FC,EGY,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,1,2025-07-04,FIFA Club World Cup 2025,male,alahlyfc:23,23,MF,DIENG Aliou,1997-10-16,27,2025-06-14,Mali,185
alahlyfc,Al Ahly FC,EGY,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,1,2025-07-04,FIFA Club World Cup 2025,male,alahlyfc:24,24,MF,AHMED REDA,2000-02-19,25,2025-06-14,Egypt,180
alahlyfc,Al Ahly FC,EGY,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,1,2025-07-04,FIFA Club World Cup 2025,male,alahlyfc:25,25,MF,ZIZO,1996-01-10,29,2025-06-14,Egypt,175
alahlyfc,Al Ahly FC,EGY,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,1,2025-07-04,FIFA Club World Cup 2025,male,alahlyfc:26,26,GK,MOHAMED SEHA,2001-05-01,24,2025-06-14,Egypt,195
alahlyfc,Al Ahly FC,EGY,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,1,2025-07-04,FIFA Club World Cup 2025,male,alahlyfc:27,27,DF,MOSTAFA EL AASH,2000-10-11,24,2025-06-14,Egypt,180
alahlyfc,Al Ahly FC,EGY,https://fdp.fifa.org/assetspublic/ce233/pdf/SquadLists-English.pdf,1,2025-07-04,FIFA Club World Cup 2025,male,alahlyfc:29,29,MF,TAHER MOHAMED,1997-03-07,28,2025-06-14,Egypt,186
