match_id,date,club_id,club,opponent,goals,goals_against,source_url,source_page,phases_page,possession_pct,formation,build_up_unopposed_pct,build_up_opposed_pct,progression_pct,final_third_pct,long_ball_pct,attacking_transition_pct,counter_attack_pct,high_press_pct,mid_press_pct,low_press_pct,high_block_pct,mid_block_pct,low_block_pct,counter_press_pct,passes_attempted,passes_completed,line_breaks_completed,direct_pressures,shots,distance_m,pass_completion_pct
1,2025-06-14,alahlyfc,Al Ahly FC,Inter Miami CF,0,0,https://www.fifatrainingcentre.com/media/native/tournaments/fcwc/2025/M01%20AHL%20V%20MIA%20POST%20MATCH%20REPORT.pdf,3,4,42.7,4-4-2,34.0,9.0,18.0,12.0,2.0,21.0,3.0,3.0,3.0,0.0,3.0,25.0,21.0,9.0,423.0,370.0,88.0,51.0,11.0,105605.1,87.47044917257683
1,2025-06-14,intermiamicf,Inter Miami CF,Al Ahly FC,0,0,https://www.fifatrainingcentre.com/media/native/tournaments/fcwc/2025/M01%20AHL%20V%20MIA%20POST%20MATCH%20REPORT.pdf,3,4,49.6,4-4-2,44.0,10.0,13.0,10.0,2.0,16.0,1.0,5.0,5.0,1.0,12.0,23.0,10.0,10.0,499.0,443.0,98.0,34.0,13.0,105180.6,88.77755511022045
2,2025-06-15,fcbayernmunchen,FC Bayern München,Auckland City FC,10,0,https://www.fifatrainingcentre.com/media/native/tournaments/fcwc/2025/M02%20BAY%20V%20AKL%20POST%20MATCH%20REPORT.pdf,3,4,64.3,4-2-3-1,42.0,19.0,18.0,56.0,0.0,9.0,1.0,13.0,4.0,0.0,7.0,12.0,3.0,13.0,797.0,728.0,141.0,28.0,31.0,120404.9,91.34253450439147
2,2025-06-15,aucklandcityfc,Auckland City FC,FC Bayern München,0,10,https://www.fifatrainingcentre.com/media/native/tournaments/fcwc/2025/M02%20BAY%20V%20AKL%20POST%20MATCH%20REPORT.pdf,3,4,28.6,5-2-3,28.0,13.0,9.0,3.0,9.0,22.0,4.0,0.0,1.0,0.0,1.0,7.0,72.0,6.0,344.0,253.0,41.0,45.0,1.0,115895.5,73.54651162790698
3,2025-06-15,parissaintgermain,Paris Saint-Germain,Atlético De Madrid,4,0,https://www.fifatrainingcentre.com/media/native/tournaments/fcwc/2025/M03%20PSG%20V%20ATM%20POST%20MATCH%20REPORT.pdf,3,4,69.5,4-1-2-3,41.0,21.0,17.0,19.0,1.0,8.0,0.0,13.0,7.0,0.0,10.0,10.0,5.0,11.0,832.0,792.0,155.0,34.0,15.0,106194.29999999999,95.1923076923077
3,2025-06-15,atleticodemadrid,Atlético De Madrid,Paris Saint-Germain,0,4,https://www.fifatrainingcentre.com/media/native/tournaments/fcwc/2025/M03%20PSG%20V%20ATM%20POST%20MATCH%20REPORT.pdf,3,4,25.5,4-4-2,17.0,15.0,24.0,10.0,4.0,15.0,2.0,7.0,5.0,0.0,4.0,28.0,30.0,6.0,287.0,240.0,73.0,64.0,5.0,109397.6,83.62369337979094
4,2025-06-15,palmeiras,Palmeiras,FC Porto,0,0,https://www.fifatrainingcentre.com/media/native/tournaments/fcwc/2025/M04%20PAL%20V%20POR%20POST%20MATCH%20REPORT.pdf,3,4,48.7,3-4-3,34.0,12.0,19.0,22.0,3.0,12.0,2.0,6.0,4.0,0.0,5.0,21.0,11.0,13.0,409.0,340.0,90.0,45.0,17.0,104889.9,83.12958435207824
4,2025-06-15,fcporto,FC Porto,Palmeiras,0,0,https://www.fifatrainingcentre.com/media/native/tournaments/fcwc/2025/M04%20PAL%20V%20POR%20POST%20MATCH%20REPORT.pdf,3,4,40.6,3-4-3,35.0,12.0,14.0,11.0,5.0,18.0,2.0,2.0,3.0,0.0,3.0,20.0,30.0,10.0,337.0,272.0,79.0,40.0,12.0,106024.9,80.71216617210682
5,2025-06-15,botafogo,Botafogo,Seattle Sounders FC,2,1,https://www.fifatrainingcentre.com/media/native/tournaments/fcwc/2025/M05%20BOT%20V%20SEA%20POST%20MATCH%20REPORT.pdf,3,4,38.8,4-4-2,33.0,12.0,12.0,13.0,7.0,18.0,3.0,4.0,5.0,1.0,3.0,20.0,27.0,9.0,416.0,345.0,74.0,62.0,11.0,114772.8,82.9326923076923
5,2025-06-15,seattlesoundersfc,Seattle Sounders FC,Botafogo,1,2,https://www.fifatrainingcentre.com/media/native/tournaments/fcwc/2025/M05%20BOT%20V%20SEA%20POST%20MATCH%20REPORT.pdf,3,4,52.4,4-2-3-1,31.0,17.0,19.0,28.0,2.0,12.0,1.0,4.0,4.0,0.0,4.0,18.0,18.0,10.0,599.0,538.0,159.0,36.0,25.0,119468.7,89.81636060100168
