player_id,player_url,fifa_version,fifa_update,update_as_of,short_name,long_name,player_positions,overall,potential,value_eur,wage_eur,age,dob,height_cm,weight_kg,club_team_id,club_name,league_id,league_name,league_level,club_position,club_jersey_number,club_loaned_from,club_joined_date,club_contract_valid_until_year,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,release_clause_eur,player_tags,player_traits,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk
18115,/player/18115/ruben-miguel-santos-fernandes/240002,24.0,2.0,2023-09-22,Rúben Fernandes,Rúben Miguel Marques dos Santos Fernandes,CB,71,71,325000.0,5000.0,37,1986-05-06,187,81,1888.0,Gil Vicente,308.0,Liga Portugal,1.0,LCB,26.0,,2019-07-01,2024.0,38,Portugal,,,,Left,3,2,1,Low/High,Normal (185+),No,666000.0,,"Power Header, Long Ball Pass",54.0,51.0,57.0,56.0,73.0,75.0,51,45,69,63,51,47,48,31,66,65,51,56,60,69,55,65,71,80,75,51,68,73,40,55,65,71.0,76,71,69,16,7,16,14,8,,56+2,56+2,56+2,54,55,55,55,54,56+2,56+2,56+2,56+2,62+2,62+2,62+2,56+2,66+2,69+2,69+2,69+2,66+2,67+2,71,71,71,67+2,18+2
19541,/player/19541/glenn-morris/240002,24.0,2.0,2023-09-22,G. Morris,Glenn James Morris,GK,62,62,45000.0,2000.0,39,1983-12-20,183,70,1802.0,Gillingham,61.0,League Two,4.0,SUB,1.0,,2023-01-12,2024.0,14,England,,,,Right,3,1,1,Medium/Medium,Normal (170-185),No,79000.0,,,,,,,,,20,15,14,31,12,14,13,15,50,30,32,34,56,57,55,44,57,30,63,17,30,17,14,57,29,56.0,13,22,24,60,60,59,65,62,33.0,27+2,27+2,27+2,28,29,29,29,28,32+2,32+2,32+2,30+2,34+2,34+2,34+2,30+2,27+2,32+2,32+2,32+2,27+2,26+2,28+2,28+2,28+2,26+2,61+1
20801,/player/20801/c-ronaldo-dos-santos-aveiro/240002,24.0,2.0,2023-09-22,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,ST,86,86,23000000.0,66000.0,38,1985-02-05,187,85,112139.0,Al Nassr,350.0,Pro League,1.0,ST,7.0,,2023-01-01,2025.0,38,Portugal,1354.0,ST,7.0,Right,4,5,5,High/Low,Unique,Yes,36800000.0,"#Distance shooter, #Clinical finisher","Power Shot +, Power Header, Flair, Trivela, Acrobatic, Aerial",77.0,88.0,75.0,80.0,34.0,74.0,76,87,87,76,83,77,79,75,70,86,73,80,76,87,61,92,93,77,76,85,62,29,90,76,90,92.0,24,32,24,7,11,15,14,11,,85+1,85+1,85+1,81,83,83,83,81,81+3,81+3,81+3,80+3,75+3,75+3,75+3,80+3,59+3,57+3,57+3,57+3,59+3,56+3,52+3,52+3,52+3,56+3,19+3
23823,/player/23823/andreas-johansson/240002,24.0,2.0,2023-09-22,A. Johansson,Karl Tommy Andreas Johansson,CB,65,65,,850.0,41,1982-03-10,184,78,321.0,Halmstad,56.0,Allsvenskan,1.0,RCB,4.0,,2019-01-08,2023.0,46,Sweden,,,,Right,3,2,1,Medium/Medium,Lean (170-185),No,,,Long Ball Pass,32.0,49.0,58.0,57.0,65.0,69.0,45,42,62,64,50,52,55,52,65,63,32,32,46,74,50,64,62,59,74,48,70,67,40,55,56,70.0,70,63,56,15,8,15,9,11,,53+2,53+2,53+2,51,53,53,53,51,54+2,54+2,54+2,53+2,60+2,60+2,60+2,53+2,58+2,65,65,65,58+2,58+2,65,65,65,58+2,18+2
24630,/player/24630/jose-manuel-reina-paez/240002,24.0,2.0,2023-09-22,Pepe Reina,José Manuel Reina Páez,GK,77,77,1200000.0,14000.0,40,1982-08-31,188,92,483.0,Villarreal,53.0,La Liga,1.0,SUB,1.0,,2022-07-08,2024.0,45,Spain,,,,Right,3,1,3,Medium/Medium,Unique,Yes,2500000.0,,Far Throw,,,,,,,11,14,13,37,11,10,11,11,39,23,43,49,50,72,60,59,66,34,70,15,32,22,13,65,24,64.0,20,22,24,75,77,79,79,76,45.0,30+3,30+3,30+3,29,32,32,32,29,34+3,34+3,34+3,31+3,35+3,35+3,35+3,31+3,30+3,34+3,34+3,34+3,30+3,30+3,32+3,32+3,32+3,30+3,76+1
25798,/player/25798/roque-santa-cruz/240002,24.0,2.0,2023-09-22,R. Santa Cruz,Roque Luis Santa Cruz Cantero,ST,70,70,,500.0,41,1981-08-16,191,93,111008.0,Libertad,337.0,Primera División,1.0,SUB,24.0,,2022-01-12,2026.0,58,Paraguay,,,,Right,3,3,2,Medium/Medium,Normal (185+),No,,,"Power Header, Aerial",33.0,74.0,59.0,62.0,36.0,64.0,58,78,78,63,77,63,73,52,45,75,31,35,30,61,28,76,67,30,80,60,66,35,77,63,75,76.0,35,25,31,13,6,8,6,8,,70,70,70,62,66,66,66,62,63+2,63+2,63+2,59+2,58+2,58+2,58+2,59+2,45+2,49+2,49+2,49+2,45+2,43+2,49+2,49+2,49+2,43+2,14+2
49472,/player/49472/ludovic-butelle/240002,24.0,2.0,2023-09-22,L. Butelle,Ludovic Butelle,GK,68,68,130000.0,4000.0,40,1983-04-03,188,84,379.0,Stade de Reims,16.0,Ligue 1,1.0,SUB,1.0,,2023-07-04,2024.0,18,France,,,,Left,3,1,1,Medium/Medium,Normal (185+),No,260000.0,,Far Throw,,,,,,,11,11,13,31,12,11,10,15,23,23,31,33,36,59,28,47,60,28,70,12,35,18,15,39,22,59.0,11,11,11,66,69,62,69,67,32.0,26+2,26+2,26+2,23,26,26,26,23,26+2,26+2,26+2,25+2,27+2,27+2,27+2,25+2,22+2,26+2,26+2,26+2,22+2,22+2,25+2,25+2,25+2,22+2,67+1
52326,/player/52326/eldin-jakupovic/240002,24.0,2.0,2023-09-22,E. Jakupović,Eldin Jakupović,GK,63,63,50000.0,900.0,38,1984-10-02,191,85,112996.0,Los Angeles FC,39.0,Major League Soccer,1.0,SUB,1.0,,2023-02-08,2023.0,47,Switzerland,,,,Right,2,1,1,Medium/Medium,Normal (185+),Yes,75000.0,,Far Throw,,,,,,,11,12,12,39,15,11,11,14,34,22,25,30,36,58,45,47,51,30,57,11,45,24,11,52,22,62.0,14,12,11,61,65,62,65,58,27.0,25+2,25+2,25+2,24,26,26,26,24,29+2,29+2,29+2,26+2,31+2,31+2,31+2,26+2,24+2,30+2,30+2,30+2,24+2,23+2,26+2,26+2,26+2,23+2,62+1
52679,/player/52679/joe-murphy/240002,24.0,2.0,2023-09-22,J. Murphy,Joseph Murphy,GK,60,60,25000.0,1000.0,41,1981-08-21,188,88,15048.0,Tranmere Rovers,61.0,League Two,4.0,SUB,13.0,,2020-08-22,2024.0,25,Republic of Ireland,,,,Left,3,1,1,Medium/Medium,Normal (185+),No,44000.0,,,,,,,,,11,14,13,45,13,11,18,11,53,33,28,29,31,55,37,44,44,19,47,15,31,15,7,58,16,58.0,22,18,14,58,59,59,60,59,28.0,25+2,25+2,25+2,26,28,28,28,26,33+2,33+2,33+2,29+2,36+2,36+2,36+2,29+2,24+2,33+2,33+2,33+2,24+2,24+2,26+2,26+2,26+2,24+2,59+1
53110,/player/53110/craig-gordon/240002,24.0,2.0,2023-09-22,C. Gordon,Craig Sinclair Gordon,GK,73,73,350000.0,4000.0,40,1982-12-31,193,83,80.0,Hearts,50.0,Premiership,1.0,RES,1.0,,2020-07-01,2024.0,42,Scotland,,,,Left,3,1,1,Medium/Medium,Normal (185+),No,630000.0,,"Far Throw, Footwork",,,,,,,13,14,15,34,15,11,15,13,27,28,33,32,57,69,51,48,61,25,65,14,33,26,16,45,22,50.0,23,15,13,74,71,64,72,76,33.0,29+2,29+2,29+2,27,29,29,29,27,30+2,30+2,30+2,27+2,31+2,31+2,31+2,27+2,26+2,31+2,31+2,31+2,26+2,26+2,30+2,30+2,30+2,26+2,72+1
